Investigation Type,Latitude,Longitude,Aircraft Category,Make,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Weather Condition,
 Accident ,38.006667,-88.934444, Airplane , SWEARINGEN T R/MASTERS W , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,,, Airplane , Cirrus Design Corp. , No ,,, Ferry , IMC , 
 Accident ,40.275834,-79.404722, Airplane , Vans Aircraft , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,26.526945,-81.783889, Airplane , Mooney , No ,1,, Personal , IMC , 
 Accident ,33.175278,-97.828334, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,61.571667,-149.540277, Airplane , Aeronca , No ,1, Reciprocating , Personal , IMC , 
 Accident ,28.289722,-81.436944, Airplane , Piper , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,34.618889,-97.800278, Airplane , CESSNA , No ,1, Reciprocating , Personal , VMC , 
 Accident ,32.868889,-92.533611,, Cessna , No ,1, Reciprocating , Aerial Observation , VMC , 
 Accident ,42.905,-106.457778, Helicopter , BELL , No ,2, Turbo Jet , Positioning , VMC , 
 Accident ,36.048611,-95.981111, Airplane , CESSNA , No ,1, Reciprocating , Personal , VMC , 
 Accident ,42.466389,-90.169445, Airplane , HERINK H R/HERINK R W , Yes ,1,, Personal , VMC , 
 Accident ,34.645,-106.833611, Airplane ," Godwin, David P ", Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,27.071389,-82.440277, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,55.851389,37.050833,, Robinson , No ,,, Unknown , IMC , 
 Accident ,87.145833,-37.6825, Airplane , CESSNA , No ,2, Reciprocating , Positioning , IMC , 
 Accident ,44.318611,-93.301944, Airplane , Cirrus Design Corp. , No ,1, Reciprocating , Personal , VMC , 
 Accident ,30.335,-81.508611, Airplane , Lake , No ,1, Reciprocating , Personal , VMC , 
 Incident ,33.434444,-112.011389,, Boeing , No ,2, Turbo Fan ,, VMC , 
 Accident ,25.647777,-80.432778,, Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,46.926945,-122.465556, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,33.460833,-111.728334, Airplane , Diamond Aircraft Industries , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,36.88,-76.214167, Helicopter , Robinson , No ,1, Reciprocating , Personal , VMC , 
 Accident ,32.760556,-96.534166,, Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,32.656389,-114.605833,, Hiller , No ,1, Turbo Shaft , Aerial Application , VMC , 
 Accident ,38.9625,-121.068056,, Cessna , No ,1, Reciprocating , Personal , VMC , 
 Incident ,,,, Boeing , No ,2, Turbo Fan ,,, 
 Accident ,39.485,-74.738333, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,42.481945,-114.471111, Helicopter , Bell , No ,1, Turbo Shaft , Personal , VMC , 
 Accident ,41.491389,-74.168889, Airplane , CIRRUS DESIGN CORP , No ,1, Reciprocating , Personal , IMC , 
 Incident ,,,, Boeing , No ,,,, VMC , 
 Accident ,45.305556,-122.918056,, Schweizer , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,33.128056,-117.113333,, Beech , No ,2, Reciprocating , Personal , VMC , 
 Accident ,47.269167,-122.451389,, Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,47.269167,-122.451389,, American Champion Aircraft , No ,1, Reciprocating , Personal , VMC , 
 Accident ,42.228889,-75.978889, Airplane , MOONEY , No ,1, Reciprocating , Personal , IMC , 
 Accident ,33.039166,-116.915, Helicopter , Robinson , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,32.672223,-115.562222, Airplane , Ayres , No ,1, Turbo Prop , Aerial Application , VMC , 
 Accident ,36.316667,-87.916667, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,63.018611,-154.358611, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,37.380556,-120.568056, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,35.653333,-95.356667, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,-38.828056,145.778611,, Cessna , No ,,, Personal , VMC , 
 Accident ,32.482778,-81.736944, Airplane , Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Incident ,33.191111,-95.978334, Airplane , BOEING , No ,2, Turbo Fan ,, VMC , 
 Incident ,,, Powered-Lift , BOEING , No ,2,,,, 
 Accident ,43.157778,-93.331389,, Padelt , Yes ,,, Personal , VMC , 
 Accident ,38.083889,-95.634166,, Gomory , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,34.426111,-119.840277,, Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,35.8775,-86.3775, Airplane , Piper , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,36.863056,-114.122223, Helicopter , Eurocopter France , No ,1, Turbo Shaft ,, VMC , 
 Accident ,36.55,138.416667,, Cessna , No ,,,,, 
 Accident ,40.01,-105.047777,, Evektor-Aerotechnik , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,32.476945,-98.52, Airplane , PIPER , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,39.123056,-94.5925,, Aero Commander , No ,2, Reciprocating ,, VMC , 
 Accident ,42.419723,-87.867223,, Czech Aircraft Works , No ,1, Reciprocating , Personal , VMC , 
 Accident ,32.786666,-115.721667,, Beech , No ,1, Reciprocating , Personal , VMC , 
 Accident ,37.828611,-121.625834,, Piper , No ,2, Reciprocating , Instructional , VMC , 
 Accident ,41.668056,-70.274723, Airplane , Piper , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,61.646111,-149.2925, Airplane , American Champion (ACAC) , No ,1, Reciprocating , Personal , VMC , 
 Accident ,38.830834,-94.890277,, Rotorway , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,29.175,-82.224167, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,28.433611,-81.488055, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,40.788333,-111.9775, Airplane , PIPER , No ,2, Reciprocating , Positioning , VMC , 
 Accident ,34.848611,-111.788611, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,34.4,-110.533333, Airplane , Maule , No ,1, Reciprocating , Personal , VMC , 
 Accident ,45.431111,-93.8575, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,43.825278,-71.163889, Airplane ," Brand, Richard ", Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,36.156111,-78.315556, Glider , LET , No ,0,, Personal , VMC , 
 Accident ,45.196389,-123.134444,, Titan Aircraft , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,29.633056,-95.655556, Airplane , GULFSTREAM AEROSPACE , No ,2, Turbo Fan , Business , VMC , 
 Accident ,31.999722,-110.357778,, Grumman American , No ,1, Reciprocating , Personal , VMC , 
 Accident ,31.042222,-102.101944,, Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,37.396111,-87.235555,, Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,26,-80.241666, Airplane , PIPER , No ,1, Reciprocating , Banner Tow , VMC , 
 Accident ,38.213056,-122.280556, Airplane , Piper , No ,2, Reciprocating , Positioning , IMC , 
 Accident ,28.816667,-81.258333, Airplane , Sea & Air Sales , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,41.143611,-102.102222, Airplane , Air Tractor , No ,1, Turbo Shaft , Aerial Application , VMC , 
 Accident ,42.008889,-88.4575, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Incident ,46.573056,-37.768334, Airplane , LOCKHEED , No ,4, Turbo Prop , Public Aircraft - Federal , IMC , 
 Accident ,61.594722,-149.088611,, Cessna , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,35.366667,-31.1, Airplane , Scottish , No ,1, Reciprocating , Personal , VMC , 
 Accident ,35.626945,-119.135833, Airplane , PIPER , No ,2, Reciprocating , Personal , VMC , 
 Accident ,36.179167,-83.375278,, Bell , No ,1, Turbo Shaft , Positioning , VMC , 
 Accident ,34.146944,-97.122778, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,35.959167,-115.493889, Airplane , CESSNA , No ,1, Reciprocating , Personal , VMC , 
 Accident ,44.859167,-117.806389, Helicopter , HUGHES , No ,1, Reciprocating , Instructional , VMC , 
 Accident ,35.754167,-115.266667, Airplane , BEECH , No ,1, Reciprocating , Personal , VMC , 
 Accident ,,,, Boeing ,,,,,, 
 Accident ,0,0,, Piper ,,,, Personal ,, 
 Accident ,25.904167,-80.273611, Airplane , BEECH , No ,2, Reciprocating ,, VMC , 
 Accident ,25.904167,-80.273611, Airplane , CESSNA , No ,1, Turbo Prop , Business , VMC , 
 Accident ,40.075834,-123.816667, Airplane , CESSNA , No ,2, Reciprocating , Business , IMC , 
 Accident ,33.978056,-117.660278, Airplane , BEECH , No ,2, Turbo Prop , Executive/Corporate , IMC , 
 Accident ,46.096666,-122.262778,, Arrow Falcon Exporters , No ,1, Turbo Shaft , Aerial Application , VMC , 
 Accident ,38.570834,-79.935555,, Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,44.355278,-109.589444,, Agusta , No ,1, Turbo Shaft , Personal , VMC , 
 Accident ,32.836389,-97.363056,, Beech , No ,1, Reciprocating , Personal , VMC , 
 Incident ,46.958056,10.841944, Airplane , Kaman , No ,,, External Load , VMC , 
 Accident ,37.624445,-76.906111, Airplane , Vans Aircraft , Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,,,, Cessna , No ,,,, VMC , 
 Accident ,36.124445,-86.678334, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
 Accident ,37.303056,-108.628056, Airplane , Piper , No ,1, Reciprocating , Personal , VMC , 
 Accident ,36.425556,-85.057222, Helicopter , ROBINSON HELICOPTER , No ,1, Reciprocating , Unknown , VMC , 
 Accident ,42.3,-74.25, Glider , Burkhart Grob , No ,0,, Personal , VMC , 
 Accident ,39.6275,-86.087777, Airplane ," Gluff, Alan ", Yes ,1, Reciprocating , Personal , VMC , 
 Accident ,43.35,-73.233333, Airplane , Cessna , No ,1, Reciprocating , Personal , VMC , 
